Date,Impressions,Reach,Cost,Clicks,Conversions,Revenue
2024-01-01,36034.0,27263.0,209.1,608.0,4.0,158.2
2024-01-02,30804.0,22648.0,204.9,516.0,11.0,1412.8
2024-01-03,26372.0,18947.0,198.7,429.0,4.0,371.5
2024-01-04,17354.0,11436.0,131.2,324.0,4.0,0.0
2024-01-05,12036.0,7921.0,114.0,224.0,2.0,0.0
2024-01-06,12860.0,8692.0,113.6,191.0,3.0,0.0
2024-01-07,16411.0,9116.0,120.2,178.0,0.0,0.0
2024-01-08,22624.0,13475.0,223.6,481.0,0.0,0.0
2024-01-09,24009.0,16247.0,216.4,392.0,2.0,148.1
2024-01-10,23469.0,16724.0,215.3,414.0,2.0,232.5
2024-01-11,25344.0,17713.0,217.3,396.0,3.0,613.4
2024-01-12,24226.0,17380.0,217.5,348.0,0.0,0.0
2024-01-13,25084.0,17939.0,217.7,378.0,0.0,0.0
2024-01-14,24597.0,17700.0,215.2,392.0,1.0,40.2
2024-01-15,23498.0,17670.0,210.8,384.0,4.0,953.6
2024-01-16,21598.0,15760.0,184.1,348.0,3.0,677.5
2024-01-17,19041.0,14177.0,175.4,287.0,2.0,142.8
2024-01-18,19632.0,14850.0,174.5,314.0,5.0,930.6
2024-01-19,19492.0,14452.0,175.3,320.0,1.0,129.6
2024-01-20,18655.0,13899.0,175.3,281.0,2.0,336.0
2024-01-21,19817.0,14766.0,189.3,320.0,2.0,25.6
2024-01-22,19943.0,15360.0,187.7,294.0,4.0,483.5
2024-01-23,12879.0,10051.0,117.7,256.0,3.0,96.8
2024-01-24,10073.0,7888.0,77.9,170.0,1.0,0.0
2024-01-25,10214.0,7882.0,75.9,164.0,4.0,321.3
2024-01-26,9464.0,7286.0,76.8,149.0,3.0,148.8
2024-01-27,9702.0,7517.0,77.6,183.0,0.0,0.0
2024-01-28,11433.0,8716.0,85.3,207.0,1.0,79.2
2024-01-29,11322.0,8709.0,82.0,170.0,5.0,1242.6
2024-01-30,10143.0,7831.0,81.3,168.0,3.0,1315.4
2024-01-31,10356.0,8045.0,79.1,187.0,0.0,0.0
2024-02-01,11201.0,8566.0,77.8,252.0,4.0,472.3
2024-02-02,10563.0,7956.0,76.1,315.0,2.0,159.5
2024-02-03,11328.0,8839.0,78.5,341.0,4.0,495.3
2024-02-04,12922.0,9600.0,84.9,363.0,3.0,214.7
2024-02-05,13150.0,10265.0,82.0,344.0,4.0,322.2
2024-02-06,13349.0,10409.0,80.8,286.0,4.0,1654.2
2024-02-07,12122.0,9713.0,79.3,305.0,4.0,733.2
2024-02-08,11568.0,9098.0,76.8,288.0,7.0,1180.5
2024-02-09,13033.0,10079.0,95.1,350.0,7.0,754.4
2024-02-10,13963.0,10172.0,98.6,348.0,2.0,84.0
2024-02-11,15161.0,10673.0,110.5,348.0,8.0,1221.7
2024-02-12,14836.0,10584.0,108.6,304.0,49.0,9433.3
2024-02-13,15202.0,11607.0,95.5,320.0,49.0,15592.9
2024-02-14,14999.0,11497.0,91.7,287.0,39.0,7816.1
2024-02-15,14020.0,10741.0,88.9,267.0,41.0,5685.0
2024-02-16,13191.0,10700.0,87.7,245.0,47.0,6650.7
2024-02-17,13195.0,9948.0,89.4,246.0,22.0,2615.0
2024-02-18,14243.0,10618.0,97.1,231.0,18.0,3080.1
2024-02-19,14504.0,10992.0,94.9,204.0,1.0,122.0
2024-02-20,13293.0,10264.0,93.0,260.0,4.0,385.0
2024-02-21,12484.0,8836.0,89.7,278.0,3.0,137.9
2024-02-22,14411.0,10231.0,90.6,256.0,2.0,350.4
2024-02-23,13855.0,9864.0,89.8,241.0,0.0,0.0
2024-02-24,13804.0,10120.0,88.9,300.0,2.0,145.5
2024-02-25,16178.0,12158.0,98.3,352.0,5.0,840.2
2024-02-26,17165.0,12004.0,95.1,241.0,2.0,109.4
2024-02-27,16365.0,11120.0,93.0,324.0,3.0,239.6
2024-02-28,16036.0,11652.0,91.0,284.0,3.0,437.4
2024-02-29,15468.0,11077.0,88.6,273.0,4.0,5463.4
2024-03-01,14898.0,9878.0,98.7,383.0,4.0,622.0
2024-03-02,16907.0,11068.0,107.6,443.0,4.0,665.5
2024-03-03,20084.0,13076.0,117.7,404.0,2.0,112.0
2024-03-04,18238.0,11425.0,115.3,370.0,4.0,911.4
2024-03-05,17944.0,11225.0,112.2,344.0,7.0,2359.2
2024-03-06,18561.0,12132.0,110.3,316.0,10.0,2439.3
2024-03-07,19853.0,13424.0,108.8,363.0,7.0,981.4
2024-03-08,19284.0,12877.0,108.5,311.0,12.0,1855.6
2024-03-09,18843.0,12952.0,111.2,350.0,5.0,3667.0
2024-03-10,19832.0,13220.0,117.0,349.0,3.0,302.4
2024-03-11,17455.0,11587.0,114.2,268.0,8.0,1462.4
2024-03-12,17231.0,11774.0,111.2,283.0,8.0,1084.3
2024-03-13,16000.0,10437.0,110.5,260.0,8.0,1904.9
2024-03-14,15633.0,9996.0,109.2,268.0,16.0,3227.0
2024-03-15,16277.0,10545.0,110.4,244.0,7.0,1179.9
2024-03-16,16299.0,10919.0,111.6,241.0,7.0,1316.0
2024-03-17,18308.0,12218.0,117.9,284.0,2.0,158.1
2024-03-18,17714.0,11649.0,114.0,256.0,12.0,2819.1
2024-03-19,16664.0,11175.0,111.8,294.0,17.0,2176.8
2024-03-20,16714.0,11176.0,107.2,287.0,11.0,1414.0
2024-03-21,16069.0,10754.0,106.2,273.0,18.0,2868.1
2024-03-22,15747.0,10614.0,113.1,302.0,16.0,2503.6
2024-03-23,17318.0,11208.0,122.0,322.0,8.0,379.7
2024-03-24,20523.0,13080.0,132.1,395.0,8.0,480.6
2024-03-25,19816.0,12734.0,125.8,321.0,36.0,3939.4
2024-03-26,19039.0,12175.0,121.8,306.0,40.0,5653.2
2024-03-27,16980.0,11275.0,107.3,325.0,17.0,1740.0
2024-03-28,17843.0,12284.0,104.6,337.0,38.0,4278.3
2024-03-29,19250.0,13492.0,105.4,350.0,24.0,2933.9
2024-03-30,21275.0,15127.0,106.4,398.0,8.0,1215.5
2024-03-31,25616.0,18410.0,114.3,402.0,9.0,622.7
2024-04-01,20080.0,13093.0,85.5,280.0,24.0,3191.9
2024-04-02,15283.0,9370.0,79.3,187.0,27.0,5662.3
2024-04-03,14328.0,8450.0,78.6,202.0,16.0,1362.0
2024-04-04,16218.0,10207.0,77.1,232.0,16.0,1828.7
2024-04-05,16952.0,10800.0,78.3,260.0,43.0,5523.2
2024-04-06,19022.0,12878.0,79.3,318.0,7.0,1044.1
2024-04-07,20464.0,13477.0,84.2,304.0,20.0,19098.6
2024-04-08,18093.0,11543.0,82.3,222.0,40.0,4300.2
2024-04-09,16797.0,10732.0,79.5,224.0,60.0,8524.0
2024-04-10,16334.0,10066.0,78.3,196.0,71.0,9125.4
2024-04-11,17058.0,10449.0,78.2,224.0,59.0,16026.7
2024-04-12,16178.0,10732.0,77.7,197.0,44.0,6793.6
2024-04-13,18906.0,12808.0,77.6,252.0,21.0,5272.5
2024-04-14,22593.0,15627.0,85.0,271.0,16.0,2483.3
2024-04-15,16520.0,10506.0,81.5,190.0,32.0,3850.3
2024-04-16,15769.0,10179.0,77.5,236.0,23.0,3979.1
2024-04-17,16060.0,10660.0,77.3,195.0,22.0,4402.7
2024-04-18,14968.0,10679.0,76.9,227.0,17.0,2686.5
2024-04-19,14440.0,9996.0,78.0,210.0,16.0,1973.2
2024-04-20,17330.0,12248.0,81.0,301.0,4.0,123.6
2024-04-21,20528.0,14940.0,85.4,301.0,4.0,171.3
2024-04-22,16032.0,11252.0,81.8,182.0,16.0,2408.0
2024-04-23,13588.0,9625.0,77.7,200.0,30.0,5426.2
2024-04-24,13856.0,9759.0,78.3,191.0,31.0,4293.8
2024-04-25,11668.0,7803.0,78.1,161.0,33.0,3826.1
2024-04-26,11081.0,7295.0,76.7,159.0,12.0,1544.9
2024-04-27,13091.0,9549.0,78.8,216.0,4.0,2143.1
2024-04-28,14348.0,9608.0,85.2,206.0,4.0,637.4
2024-04-29,11533.0,7694.0,82.1,184.0,25.0,4441.8
2024-04-30,12520.0,8341.0,78.5,193.0,21.0,3297.9
2024-05-01,12904.0,8082.0,91.5,180.0,29.0,2189.2
2024-05-02,11781.0,7776.0,90.7,188.0,24.0,3510.7
2024-05-03,12236.0,7925.0,96.3,196.0,27.0,2758.3
2024-05-04,9371.0,6796.0,70.8,190.0,7.0,203.1
2024-05-05,17087.0,10942.0,113.5,272.0,19.0,3144.1
2024-05-06,14466.0,8949.0,118.4,188.0,37.0,6725.4
2024-05-07,12862.0,8041.0,106.2,147.0,37.0,4407.2
2024-05-08,11732.0,7436.0,99.2,169.0,36.0,3712.2
2024-05-09,11712.0,7676.0,93.3,180.0,32.0,7961.5
2024-05-10,12732.0,8162.0,101.3,192.0,30.0,3987.6
2024-05-11,18053.0,13279.0,101.7,304.0,9.0,448.6
2024-05-12,25012.0,18581.0,122.3,352.0,9.0,817.3
2024-05-13,16780.0,11663.0,117.7,200.0,30.0,4378.1
2024-05-14,11356.0,7104.0,88.2,168.0,24.0,3436.7
2024-05-15,10485.0,6275.0,90.8,165.0,37.0,7042.3
2024-05-16,10248.0,5743.0,95.5,118.0,42.0,7120.9
2024-05-17,13096.0,7880.0,109.8,209.0,24.0,6908.6
