Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
2024-01-01,Audience,9132.0,50.0,26.8,0.0,0.0
2024-01-01,Performance max,897.0,9.0,7.0,0.0,0.0
2024-01-01,Search & content,95977.0,561.0,846.5,1.0,168.8
2024-01-01,Shopping,59860.0,343.0,215.2,1.0,143.5
2024-01-02,Audience,9926.0,49.0,25.9,0.0,0.0
2024-01-02,Performance max,1036.0,16.0,11.5,0.0,0.0
2024-01-02,Search & content,128379.0,560.0,948.8,0.0,0.0
2024-01-02,Shopping,80751.0,370.0,198.8,1.0,140.2
2024-01-03,Audience,7613.0,48.0,24.1,0.0,0.0
2024-01-03,Performance max,484.0,6.0,1.1,0.0,0.0
2024-01-03,Search & content,130300.0,596.0,958.9,2.0,325.8
2024-01-03,Shopping,81301.0,384.0,214.0,0.0,0.0
2024-01-04,Audience,9176.0,44.0,24.3,0.0,0.0
2024-01-04,Performance max,389.0,7.0,2.5,0.0,0.0
2024-01-04,Search & content,157220.0,614.0,973.0,1.0,148.3
2024-01-04,Shopping,80960.0,398.0,211.4,0.0,0.0
2024-01-05,Audience,10253.0,44.0,24.7,0.0,0.0
2024-01-05,Performance max,1097.0,12.0,13.7,0.0,0.0
2024-01-05,Search & content,147500.0,539.0,942.7,4.0,544.7
2024-01-05,Shopping,86438.0,423.0,207.4,1.0,99.9
2024-01-06,Audience,9330.0,44.0,23.6,0.0,0.0
2024-01-06,Performance max,924.0,14.0,8.8,0.0,0.0
2024-01-06,Search & content,119564.0,579.0,908.0,3.0,290.2
2024-01-06,Shopping,61323.0,348.0,153.5,0.0,0.0
2024-01-07,Audience,14104.0,48.0,24.7,0.0,0.0
2024-01-07,Performance max,715.0,8.0,8.0,0.0,0.0
2024-01-07,Search & content,119714.0,577.0,874.6,3.0,294.1
2024-01-07,Shopping,49360.0,363.0,155.9,1.0,174.3
2024-01-08,Audience,7622.0,49.0,26.5,0.0,0.0
2024-01-08,Performance max,475.0,4.0,2.8,0.0,0.0
2024-01-08,Search & content,140592.0,564.0,921.7,4.0,720.0
2024-01-08,Shopping,86737.0,452.0,213.0,0.0,0.0
2024-01-09,Audience,8048.0,44.0,24.1,1.0,206.4
2024-01-09,Performance max,224.0,4.0,1.3,0.0,0.0
2024-01-09,Search & content,154420.0,549.0,931.7,8.0,1473.3
2024-01-09,Shopping,83938.0,476.0,227.4,9.0,1078.8
2024-01-10,Audience,9464.0,45.0,25.2,0.0,0.0
2024-01-10,Performance max,224.0,4.0,1.2,0.0,0.0
2024-01-10,Search & content,136175.0,546.0,1013.9,13.0,2448.4
2024-01-10,Shopping,89000.0,466.0,221.3,8.0,1494.8
2024-01-11,Audience,9760.0,45.0,25.1,0.0,0.0
2024-01-11,Performance max,345.0,2.0,1.1,1.0,134.9
2024-01-11,Search & content,159518.0,544.0,955.8,12.0,1407.0
2024-01-11,Shopping,86712.0,471.0,218.0,7.0,1088.1
2024-01-12,Audience,8992.0,47.0,25.1,1.0,238.4
2024-01-12,Performance max,234.0,2.0,1.0,0.0,0.0
2024-01-12,Search & content,143674.0,555.0,949.3,10.0,2015.6
2024-01-12,Shopping,97318.0,424.0,208.2,6.0,981.6
2024-01-13,Audience,11192.0,47.0,24.9,0.0,0.0
2024-01-13,Performance max,135.0,1.0,0.0,0.0,0.0
2024-01-13,Search & content,101775.0,553.0,923.8,8.0,948.9
2024-01-13,Shopping,72638.0,431.0,156.2,12.0,2290.5
2024-01-14,Audience,6320.0,48.0,25.7,0.0,0.0
2024-01-14,Performance max,121.0,1.0,0.1,0.0,0.0
2024-01-14,Search & content,102287.0,563.0,928.1,4.0,559.6
2024-01-14,Shopping,75138.0,403.0,151.8,4.0,474.7
2024-01-15,Audience,9786.0,49.0,26.3,0.0,0.0
2024-01-15,Performance max,44.0,0.0,0.0,0.0,0.0
2024-01-15,Search & content,140292.0,497.0,918.0,8.0,1539.4
2024-01-15,Shopping,88521.0,428.0,213.6,7.0,1141.6
2024-01-16,Audience,9856.0,47.0,25.8,0.0,0.0
2024-01-16,Performance max,48.0,0.0,0.0,0.0,0.0
2024-01-16,Search & content,158663.0,549.0,933.0,13.0,1671.8
2024-01-16,Shopping,91778.0,451.0,220.2,12.0,1768.4
2024-01-17,Audience,11279.0,48.0,25.6,1.0,273.5
2024-01-17,Performance max,88.0,5.0,0.6,0.0,0.0
2024-01-17,Search & content,152332.0,482.0,903.5,20.0,3805.0
2024-01-17,Shopping,98901.0,447.0,223.6,7.0,1070.5
2024-01-18,Audience,6678.0,44.0,22.0,0.0,0.0
2024-01-18,Performance max,155.0,4.0,1.4,0.0,0.0
2024-01-18,Search & content,159325.0,515.0,922.7,12.0,1444.4
2024-01-18,Shopping,89021.0,428.0,225.4,11.0,2297.2
2024-01-19,Audience,10216.0,42.0,21.7,0.0,0.0
2024-01-19,Performance max,50.0,2.0,0.3,0.0,0.0
2024-01-19,Search & content,152613.0,519.0,915.6,6.0,958.3
2024-01-19,Shopping,84106.0,412.0,235.2,9.0,1636.4
2024-01-20,Audience,10364.0,40.0,22.6,1.0,210.3
2024-01-20,Performance max,20.0,0.0,0.0,0.0,0.0
2024-01-20,Search & content,106039.0,568.0,882.6,5.0,592.8
2024-01-20,Shopping,72902.0,412.0,154.3,8.0,1338.5
2024-01-21,Audience,7485.0,42.0,22.4,0.0,0.0
2024-01-21,Performance max,1.0,0.0,0.0,0.0,0.0
2024-01-21,Search & content,104857.0,616.0,904.5,8.0,1084.9
2024-01-21,Shopping,97652.0,431.0,166.0,7.0,1092.6
2024-01-22,Audience,10126.0,39.0,21.7,0.0,0.0
2024-01-22,Search & content,125216.0,556.0,937.6,17.0,2562.1
2024-01-22,Shopping,298165.0,1340.0,561.6,8.0,1093.5
2024-01-23,Audience,11701.0,41.0,21.9,0.0,0.0
2024-01-23,Search & content,148898.0,605.0,973.2,15.0,2663.5
2024-01-23,Shopping,338147.0,1290.0,596.8,4.0,702.0
2024-01-24,Audience,9485.0,40.0,21.6,0.0,0.0
